date,count
2020-01-01,801
2020-01-02,801
2020-01-03,801
2020-01-04,805
2020-01-05,805
2020-01-06,806
2020-01-07,806
2020-01-08,808
2020-01-09,809
2020-01-10,811
2020-01-11,813
2020-01-12,813
2020-01-13,814
2020-01-14,815
2020-01-15,818
2020-01-16,819
2020-01-17,822
2020-01-18,823
2020-01-19,823
2020-01-20,823
2020-01-21,824
2020-01-22,824
2020-01-23,824
2020-01-24,824
2020-01-25,824
2020-01-26,824
2020-01-27,824
2020-01-28,830
2020-01-29,831
2020-01-30,831
2020-01-31,833
2020-02-01,835
2020-02-02,839
2020-02-03,841
2020-02-04,846
2020-02-05,847
2020-02-06,848
2020-02-07,849
2020-02-08,850
2020-02-09,851
2020-02-10,853
2020-02-11,855
2020-02-12,856
2020-02-13,857
2020-02-14,860
2020-02-15,863
2020-02-16,865
2020-02-17,865
2020-02-18,867
2020-02-19,867
2020-02-20,867
2020-02-21,868
2020-02-22,868
2020-02-23,869
2020-02-24,869
2020-02-25,869
2020-02-26,870
2020-02-27,872
2020-02-28,873
2020-02-29,873
2020-03-01,873
2020-03-02,875
2020-03-03,876
2020-03-04,876
2020-03-05,878
2020-03-06,878
2020-03-07,878
2020-03-08,880
2020-03-09,880
2020-03-10,882
2020-03-11,887
2020-03-12,889
2020-03-13,889
2020-03-14,890
2020-03-15,892
2020-03-16,892
2020-03-17,894
2020-03-18,897
2020-03-19,898
2020-03-20,899
2020-03-21,899
2020-03-22,900
2020-03-23,900
2020-03-24,901
2020-03-25,908
2020-03-26,909
2020-03-27,911
2020-03-28,911
2020-03-29,912
2020-03-30,912
2020-03-31,917
2020-04-01,917
2020-04-02,921
2020-04-03,922
2020-04-04,924
2020-04-05,925
2020-04-06,925
2020-04-07,928
2020-04-08,929
2020-04-09,931
2020-04-10,933
2020-04-11,936
2020-04-12,936
2020-04-13,937
2020-04-14,937
2020-04-15,940
2020-04-16,940
2020-04-17,937
2020-04-18,942
2020-04-19,944
2020-04-20,945
2020-04-21,946
2020-04-22,946
2020-04-23,946
2020-04-24,948
2020-04-25,949
2020-04-26,949
2020-04-27,951
2020-04-28,951
2020-04-29,952
2020-04-30,954
2020-05-01,955
2020-05-02,958
2020-05-03,958
2020-05-04,959
2020-05-05,961
2020-05-06,963
2020-05-07,966
2020-05-08,969
2020-05-09,973
2020-05-10,977
2020-05-11,977
2020-05-12,978
2020-05-13,978
2020-05-14,979
2020-05-15,979
2020-05-16,980
2020-05-17,981
2020-05-18,981
2020-05-19,984
2020-05-20,986
2020-05-21,989
2020-05-22,990
2020-05-23,990
2020-05-24,993
2020-05-25,994
2020-05-26,996
2020-05-27,999
2020-05-28,999
2020-05-29,1000
2020-05-30,1000
2020-05-31,1002
2020-06-01,1005
2020-06-02,1007
2020-06-03,1007
2020-06-04,1009
2020-06-05,1010
2020-06-06,1013
2020-06-07,1014
2020-06-08,1016
2020-06-09,1017
2020-06-10,1019
2020-06-11,1020
2020-06-12,1023
2020-06-13,1024
2020-06-14,1024
2020-06-15,1026
2020-06-16,1027
2020-06-17,1030
2020-06-18,1031
2020-06-19,1036
2020-06-20,1037
